类型,索引,活动图标,主界面图标,顺序名称,主要奖励显示,通关奖励显示,怪物模型,描述,怪物列表,怪物等级,奖励,是否发送超链接(1是0否),怪物索引（用于通关推荐战力，不同怪物不同索引）,持续天数
1,9,kfhd_Bt36,zjm_Bt55,第10关,"{""talisman"",19003,1,6}","{""talisman"",19003,1,6},{""item"",60017,5},{""item"",30007,4},{""item"",20010,30}",20019,第10关送法宝,"[2]=15000202,[3]=15000203,[4]=15000204,[5]=15000205,[6]=15000206,[8]=15000208,[9]=15000209,[10]=15000210,[11]=15000211,[12]=15000212,",1017,"{""talisman"",19003,1,6},{""item"",60017,5},{""item"",30007,4},{""item"",20010,30}",1,0,8
2,0,kfhd_Bt37,zjm_Bt56,第1关,"{""item"",60033,1}","{""item"",60033,1},{""item"",60017,1},{""item"",30008,2},{""item"",20011,10}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60033,1},{""item"",60017,1},{""item"",30008,2},{""item"",20011,10}",0,0,8
2,1,kfhd_Bt37,zjm_Bt56,第2关,"{""item"",60007,5}","{""item"",60007,5},{""item"",60017,1},{""item"",30002,2},{""item"",20012,10}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60007,5},{""item"",60017,1},{""item"",30002,2},{""item"",20012,10}",0,0,8
2,2,kfhd_Bt37,zjm_Bt56,第3关,"{""item"",60040,1}","{""item"",60040,1},{""item"",60017,2},{""item"",30003,2},{""item"",20001,10}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60040,1},{""item"",60017,2},{""item"",30003,2},{""item"",20001,10}",0,0,8
2,3,kfhd_Bt37,zjm_Bt56,第4关,"{""item"",60009,10}","{""item"",60009,10},{""item"",60017,2},{""item"",30004,3},{""item"",20002,20}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60009,10},{""item"",60017,2},{""item"",30004,3},{""item"",20002,20}",0,0,8
2,4,kfhd_Bt37,zjm_Bt56,第5关,"{""item"",60035,2}","{""item"",60035,2},{""item"",60017,3},{""item"",30005,3},{""item"",20003,20}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60035,2},{""item"",60017,3},{""item"",30005,3},{""item"",20003,20}",0,0,8
2,5,kfhd_Bt37,zjm_Bt56,第6关,"{""item"",60010,5}","{""item"",60010,5},{""item"",60017,3},{""item"",30006,3},{""item"",20004,20}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60010,5},{""item"",60017,3},{""item"",30006,3},{""item"",20004,20}",1,0,8
2,6,kfhd_Bt37,zjm_Bt56,第7关,"{""item"",60037,3}","{""item"",60037,3},{""item"",60017,4},{""item"",30001,4},{""item"",20005,30}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60037,3},{""item"",60017,4},{""item"",30001,4},{""item"",20005,30}",1,0,8
2,7,kfhd_Bt37,zjm_Bt56,第8关,"{""item"",40030,1}","{""item"",40030,1},{""item"",60017,4},{""item"",30007,4},{""item"",20006,30}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",40030,1},{""item"",60017,4},{""item"",30007,4},{""item"",20006,30}",1,0,8
2,8,kfhd_Bt37,zjm_Bt56,第9关,"{""item"",60038,3}","{""item"",60038,3},{""item"",60017,5},{""item"",30008,4},{""item"",20007,30}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",,"{""item"",60038,3},{""item"",60017,5},{""item"",30008,4},{""item"",20007,30}",1,0,8
2,9,kfhd_Bt37,zjm_Bt56,第10关,"{""equip"",15065,1,6}","{""equip"",15065,1,6},{""item"",60017,5},{""item"",30002,4},{""item"",20008,30}",20030,第10关送神装,"[2]=15000302,[3]=15000303,[4]=15000304,[5]=15000305,[6]=15000306,[8]=15000308,[9]=15000309,[10]=15000310,[11]=15000311,[12]=15000312,",1018,"{""equip"",15065,1,6},{""item"",60017,5},{""item"",30002,4},{""item"",20008,30}",1,0,8
3,0,kfhd_Bt38,zjm_Bt57,第1关,"{""item"",60033,1}","{""item"",60033,1},{""item"",60017,1},{""item"",30003,2}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60033,1},{""item"",60017,1},{""item"",30003,2}",0,0,8
3,1,kfhd_Bt38,zjm_Bt57,第2关,"{""item"",60007,5}","{""item"",60007,5},{""item"",60017,1},{""item"",30004,2},{""item"",20010,10}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60007,5},{""item"",60017,1},{""item"",30004,2},{""item"",20010,10}",0,0,8
3,2,kfhd_Bt38,zjm_Bt57,第3关,"{""item"",60040,1}","{""item"",60040,1},{""item"",60017,2},{""item"",30005,2},{""item"",20011,10}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60040,1},{""item"",60017,2},{""item"",30005,2},{""item"",20011,10}",0,0,8
3,3,kfhd_Bt38,zjm_Bt57,第4关,"{""item"",60009,10}","{""item"",60009,10},{""item"",60017,2},{""item"",30006,3},{""item"",20012,20}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60009,10},{""item"",60017,2},{""item"",30006,3},{""item"",20012,20}",0,0,8
3,4,kfhd_Bt38,zjm_Bt57,第5关,"{""item"",60035,2}","{""item"",60035,2},{""item"",60017,3},{""item"",30001,3},{""item"",20001,20}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60035,2},{""item"",60017,3},{""item"",30001,3},{""item"",20001,20}",0,0,8
3,5,kfhd_Bt38,zjm_Bt57,第6关,"{""item"",60010,5}","{""item"",60010,5},{""item"",60017,3},{""item"",30007,3},{""item"",20002,20}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60010,5},{""item"",60017,3},{""item"",30007,3},{""item"",20002,20}",1,0,8
3,6,kfhd_Bt38,zjm_Bt57,第7关,"{""item"",60037,3}","{""item"",60037,3},{""item"",60017,4},{""item"",30008,4},{""item"",20003,30}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60037,3},{""item"",60017,4},{""item"",30008,4},{""item"",20003,30}",1,0,8
3,7,kfhd_Bt38,zjm_Bt57,第8关,"{""item"",40032,1}","{""item"",40032,1},{""item"",60017,4},{""item"",30002,4},{""item"",20004,30}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",40032,1},{""item"",60017,4},{""item"",30002,4},{""item"",20004,30}",1,0,8
3,8,kfhd_Bt38,zjm_Bt57,第9关,"{""item"",60038,3}","{""item"",60038,3},{""item"",60017,5},{""item"",30003,4},{""item"",20005,30}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",,"{""item"",60038,3},{""item"",60017,5},{""item"",30003,4},{""item"",20005,30}",1,0,8
3,9,kfhd_Bt38,zjm_Bt57,第10关,"{""equip"",15063,1,6}","{""equip"",15063,1,6},{""item"",60017,5},{""item"",30004,4},{""item"",20006,30}",20032,第10关送神装,"[2]=15000402,[3]=15000403,[4]=15000404,[5]=15000405,[6]=15000406,[8]=15000408,[9]=15000409,[10]=15000410,[11]=15000411,[12]=15000412,",1019,"{""equip"",15063,1,6},{""item"",60017,5},{""item"",30004,4},{""item"",20006,30}",1,0,8
4,0,kfhd_Bt39,zjm_Bt58,第1关,"{""item"",60039,1}","{""item"",60039,1},{""item"",60017,2},{""item"",30005,2},{""item"",20007,10}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60039,1},{""item"",60017,2},{""item"",30005,2},{""item"",20007,10}",0,0,8
4,1,kfhd_Bt39,zjm_Bt58,第2关,"{""item"",60040,1}","{""item"",60040,1},{""item"",60017,2},{""item"",30006,2},{""item"",20008,10}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60040,1},{""item"",60017,2},{""item"",30006,2},{""item"",20008,10}",0,0,8
4,2,kfhd_Bt39,zjm_Bt58,第3关,"{""item"",60034,1}","{""item"",60034,1},{""item"",60017,3},{""item"",30001,2},{""item"",20009,10}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60034,1},{""item"",60017,3},{""item"",30001,2},{""item"",20009,10}",0,0,8
4,3,kfhd_Bt39,zjm_Bt58,第4关,"{""item"",60018,1}","{""item"",60018,1},{""item"",60017,3},{""item"",30007,3},{""item"",20010,20}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60018,1},{""item"",60017,3},{""item"",30007,3},{""item"",20010,20}",0,0,8
4,4,kfhd_Bt39,zjm_Bt58,第5关,"{""item"",60036,2}","{""item"",60036,2},{""item"",60017,4},{""item"",30008,3},{""item"",20011,20}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60036,2},{""item"",60017,4},{""item"",30008,3},{""item"",20011,20}",0,0,8
4,5,kfhd_Bt39,zjm_Bt58,第6关,"{""item"",60018,1}","{""item"",60018,1},{""item"",60017,4},{""item"",30002,3},{""item"",20012,20}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60018,1},{""item"",60017,4},{""item"",30002,3},{""item"",20012,20}",1,0,8
4,6,kfhd_Bt39,zjm_Bt58,第7关,"{""item"",60038,3}","{""item"",60038,3},{""item"",60017,5},{""item"",30003,4},{""item"",20001,30}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60038,3},{""item"",60017,5},{""item"",30003,4},{""item"",20001,30}",1,0,8
4,7,kfhd_Bt39,zjm_Bt58,第8关,"{""item"",60042,3}","{""item"",60042,3},{""item"",60017,5},{""item"",30004,4},{""item"",20002,30}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60042,3},{""item"",60017,5},{""item"",30004,4},{""item"",20002,30}",1,0,8
4,8,kfhd_Bt39,zjm_Bt58,第9关,"{""item"",60018,2}","{""item"",60018,2},{""item"",60017,6},{""item"",30005,4},{""item"",20003,30}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",,"{""item"",60018,2},{""item"",60017,6},{""item"",30005,4},{""item"",20003,30}",1,0,8
4,9,kfhd_Bt39,zjm_Bt58,第10关,"{""item"",40047,1}","{""item"",40047,1},{""item"",60017,6},{""item"",30006,4},{""item"",20004,30}",20047,第10关送鹿力大仙,"[2]=15000502,[3]=15000503,[4]=15000504,[5]=15000505,[6]=15000506,[8]=15000508,[9]=15000509,[10]=15000510,[11]=15000511,[12]=15000512,",1020,"{""item"",40047,1},{""item"",60017,6},{""item"",30006,4},{""item"",20004,30}",1,0,8
5,0,kfhd_Bt40,zjm_Bt59,第1关,"{""item"",60033,1}","{""item"",60033,1},{""item"",60017,2},{""item"",30001,2},{""item"",20006,20}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60033,1},{""item"",60017,2},{""item"",30001,2},{""item"",20006,20}",0,0,8
5,1,kfhd_Bt40,zjm_Bt59,第2关,"{""item"",60007,20}","{""item"",60007,20},{""item"",60017,2},{""item"",30007,2},{""item"",20007,20}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60007,20},{""item"",60017,2},{""item"",30007,2},{""item"",20007,20}",0,0,8
5,2,kfhd_Bt40,zjm_Bt59,第3关,"{""item"",60040,1}","{""item"",60040,1},{""item"",60017,3},{""item"",30008,2},{""item"",20008,30}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60040,1},{""item"",60017,3},{""item"",30008,2},{""item"",20008,30}",0,0,8
5,3,kfhd_Bt40,zjm_Bt59,第4关,"{""item"",60007,20}","{""item"",60007,20},{""item"",60017,3},{""item"",30002,3}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60007,20},{""item"",60017,3},{""item"",30002,3}",0,0,8
5,4,kfhd_Bt40,zjm_Bt59,第5关,"{""item"",60037,2}","{""item"",60037,2},{""item"",60017,4},{""item"",30003,3},{""item"",20010,40}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60037,2},{""item"",60017,4},{""item"",30003,3},{""item"",20010,40}",0,0,8
5,5,kfhd_Bt40,zjm_Bt59,第6关,"{""item"",60007,40}","{""item"",60007,40},{""item"",60017,4},{""item"",30004,3},{""item"",20011,40}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60007,40},{""item"",60017,4},{""item"",30004,3},{""item"",20011,40}",1,0,8
5,6,kfhd_Bt40,zjm_Bt59,第7关,"{""item"",60035,2}","{""item"",60035,2},{""item"",60017,5},{""item"",30005,4},{""item"",20012,60}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60035,2},{""item"",60017,5},{""item"",30005,4},{""item"",20012,60}",1,0,8
5,7,kfhd_Bt40,zjm_Bt59,第8关,"{""item"",60007,40}","{""item"",60007,40},{""item"",60017,5},{""item"",30006,4},{""item"",20001,60}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60007,40},{""item"",60017,5},{""item"",30006,4},{""item"",20001,60}",1,0,8
5,8,kfhd_Bt40,zjm_Bt59,第9关,"{""item"",60043,3}","{""item"",60043,3},{""item"",60017,6},{""item"",30001,4},{""item"",20002,60}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",,"{""item"",60043,3},{""item"",60017,6},{""item"",30001,4},{""item"",20002,60}",1,0,8
5,9,kfhd_Bt40,zjm_Bt59,第10关,"{""item"",40029,1}","{""item"",40029,1},{""item"",60017,6},{""item"",30007,4},{""item"",20003,60}",20060,第10关送象神,"[2]=15000602,[3]=15000603,[4]=15000604,[5]=15000605,[6]=15000606,[8]=15000608,[9]=15000609,[10]=15000610,[11]=15000611,[12]=15000612,",1021,"{""item"",40029,1},{""item"",60017,6},{""item"",30007,4},{""item"",20003,60}",1,0,8
