天数,索引,描述,要求,要求,原价,现价,限购数量(0不限购),限时(秒),物品
3,21,神兵进阶丹,TianXianWeapon,6,6000,1800,10,86400,"{""item"",20003,60}"
3,22,神兵6阶经验丹,TianXianWeapon,6,5000,2500,1,86400,"{""item"",20036,1}"
3,23,神兵进阶丹,TianXianWeapon,7,8000,1600,10,86400,"{""item"",20003,80}"
3,24,神兵进阶丹,TianXianWeapon,7,6000,1800,10,86400,"{""item"",20003,60}"
3,25,神兵7阶经验丹,TianXianWeapon,7,5000,2500,1,86400,"{""item"",20037,1}"
3,26,神兵进阶丹,TianXianWeapon,8,8000,1600,10,86400,"{""item"",20003,80}"
3,27,神兵进阶丹,TianXianWeapon,8,5500,1650,10,86400,"{""item"",20003,55}"
3,28,神兵8阶经验丹,TianXianWeapon,8,5000,2500,1,86400,"{""item"",20038,1}"
3,29,神兵进阶丹,TianXianWeapon,9,11500,2300,20,86400,"{""item"",20003,115}"
3,30,神兵进阶丹,TianXianWeapon,9,8000,2400,20,86400,"{""item"",20003,80}"
3,31,神兵9阶经验丹,TianXianWeapon,9,5000,2500,1,86400,"{""item"",20039,1}"
3,32,神兵进阶丹,TianXianWeapon,10,16500,3300,20,86400,"{""item"",20003,165}"
3,33,神兵进阶丹,TianXianWeapon,10,11500,3450,20,86400,"{""item"",20003,115}"
4,11,翅膀进阶丹,HeroWing,1,7000,1400,5,86400,"{""item"",20004,70}"
4,12,翅膀进阶丹,HeroWing,1,5000,1500,1,86400,"{""item"",20004,50}"
4,13,翅膀技能书,HeroWing,1,2000,800,1,86400,"{""item"",30002,1}"
4,14,翅膀进阶丹,HeroWing,4,2600,520,5,86400,"{""item"",20004,26}"
4,15,翅膀进阶丹,HeroWing,4,9000,2700,5,86400,"{""item"",20004,90}"
4,16,翅膀技能书,HeroWing,4,2000,800,1,86400,"{""item"",30002,1}"
4,17,翅膀进阶丹,HeroWing,5,5400,1080,5,86400,"{""item"",20004,54}"
4,18,翅膀进阶丹,HeroWing,5,3800,1140,5,86400,"{""item"",20004,38}"
4,19,翅膀技能书,HeroWing,5,2000,800,1,86400,"{""item"",30002,1}"
4,20,翅膀进阶丹,HeroWing,6,8000,1600,10,86400,"{""item"",20004,80}"
4,21,翅膀进阶丹,HeroWing,6,6000,1800,10,86400,"{""item"",20004,60}"
4,22,翅膀6阶经验丹,HeroWing,6,5000,2500,1,86400,"{""item"",20041,1}"
4,23,翅膀进阶丹,HeroWing,7,8000,1600,10,86400,"{""item"",20004,80}"
4,24,翅膀进阶丹,HeroWing,7,6000,1800,10,86400,"{""item"",20004,60}"
4,25,翅膀7阶经验丹,HeroWing,7,5000,2500,1,86400,"{""item"",20042,1}"
4,26,翅膀进阶丹,HeroWing,8,8000,1600,10,86400,"{""item"",20004,80}"
4,27,翅膀进阶丹,HeroWing,8,5500,1650,10,86400,"{""item"",20004,55}"
4,28,翅膀8阶经验丹,HeroWing,8,5000,2500,1,86400,"{""item"",20043,1}"
4,29,翅膀进阶丹,HeroWing,9,11500,2300,20,86400,"{""item"",20004,115}"
4,30,翅膀进阶丹,HeroWing,9,8000,2400,20,86400,"{""item"",20004,80}"
4,31,翅膀9阶经验丹,HeroWing,9,5000,2500,1,86400,"{""item"",20044,1}"
4,32,翅膀进阶丹,HeroWing,10,16500,3300,20,86400,"{""item"",20004,165}"
4,33,翅膀进阶丹,HeroWing,10,11500,3450,20,86400,"{""item"",20004,115}"
5,11,法阵进阶丹,XianLvFaZhen,1,7000,1400,5,86400,"{""item"",20005,70}"
5,12,法阵进阶丹,XianLvFaZhen,1,5000,1500,1,86400,"{""item"",20005,50}"
5,13,法阵技能书,XianLvFaZhen,1,2000,800,1,86400,"{""item"",30003,1}"
5,14,法阵进阶丹,XianLvFaZhen,4,2600,520,5,86400,"{""item"",20005,26}"
5,15,法阵进阶丹,XianLvFaZhen,4,9000,2700,5,86400,"{""item"",20005,90}"
5,16,法阵技能书,XianLvFaZhen,4,2000,800,1,86400,"{""item"",30003,1}"
5,17,法阵进阶丹,XianLvFaZhen,5,5400,1080,5,86400,"{""item"",20005,54}"
5,18,法阵进阶丹,XianLvFaZhen,5,3800,1140,5,86400,"{""item"",20005,38}"
5,19,法阵技能书,XianLvFaZhen,5,2000,800,1,86400,"{""item"",30003,1}"
5,20,法阵进阶丹,XianLvFaZhen,6,8000,1600,10,86400,"{""item"",20005,80}"
5,21,法阵进阶丹,XianLvFaZhen,6,6000,1800,10,86400,"{""item"",20005,60}"
5,22,法阵6阶经验丹,XianLvFaZhen,6,5000,2500,1,86400,"{""item"",20046,1}"
5,23,法阵进阶丹,XianLvFaZhen,7,8000,1600,10,86400,"{""item"",20005,80}"
5,24,法阵进阶丹,XianLvFaZhen,7,6000,1800,10,86400,"{""item"",20005,60}"
5,25,法阵7阶经验丹,XianLvFaZhen,7,5000,2500,1,86400,"{""item"",20047,1}"
5,26,法阵进阶丹,XianLvFaZhen,8,8000,1600,10,86400,"{""item"",20005,80}"
5,27,法阵进阶丹,XianLvFaZhen,8,5500,1650,10,86400,"{""item"",20005,55}"
5,28,法阵8阶经验丹,XianLvFaZhen,8,5000,2500,1,86400,"{""item"",20048,1}"
5,29,法阵进阶丹,XianLvFaZhen,9,11500,2300,20,86400,"{""item"",20005,115}"
5,30,法阵进阶丹,XianLvFaZhen,9,8000,2400,20,86400,"{""item"",20005,80}"
5,31,法阵9阶经验丹,XianLvFaZhen,9,5000,2500,1,86400,"{""item"",20049,1}"
5,32,法阵进阶丹,XianLvFaZhen,10,16500,3300,20,86400,"{""item"",20005,165}"
5,33,法阵进阶丹,XianLvFaZhen,10,11500,3450,20,86400,"{""item"",20005,115}"
6,11,神位进阶丹,XianLvXianWei,1,7000,1400,5,86400,"{""item"",20006,70}"
6,12,神位进阶丹,XianLvXianWei,1,5000,1500,1,86400,"{""item"",20006,50}"
6,13,神位技能书,XianLvXianWei,1,2000,800,1,86400,"{""item"",30004,1}"
6,14,神位进阶丹,XianLvXianWei,4,2600,520,5,86400,"{""item"",20006,26}"
6,15,神位进阶丹,XianLvXianWei,4,9000,2700,5,86400,"{""item"",20006,90}"
6,16,神位技能书,XianLvXianWei,4,2000,800,1,86400,"{""item"",30004,1}"
6,17,神位进阶丹,XianLvXianWei,5,5400,1080,5,86400,"{""item"",20006,54}"
6,18,神位进阶丹,XianLvXianWei,5,3800,1140,5,86400,"{""item"",20006,38}"
6,19,神位技能书,XianLvXianWei,5,2000,800,1,86400,"{""item"",30004,1}"
6,20,神位进阶丹,XianLvXianWei,6,8000,1600,10,86400,"{""item"",20006,80}"
6,21,神位进阶丹,XianLvXianWei,6,6000,1800,10,86400,"{""item"",20006,60}"
6,22,神位6阶经验丹,XianLvXianWei,6,5000,2500,1,86400,"{""item"",20051,1}"
6,23,神位进阶丹,XianLvXianWei,7,8000,1600,10,86400,"{""item"",20006,80}"
6,24,神位进阶丹,XianLvXianWei,7,6000,1800,10,86400,"{""item"",20006,60}"
6,25,神位7阶经验丹,XianLvXianWei,7,5000,2500,1,86400,"{""item"",20052,1}"
6,26,神位进阶丹,XianLvXianWei,8,8000,1600,10,86400,"{""item"",20006,80}"
6,27,神位进阶丹,XianLvXianWei,8,5500,1650,10,86400,"{""item"",20006,55}"
6,28,神位8阶经验丹,XianLvXianWei,8,5000,2500,1,86400,"{""item"",20053,1}"
6,29,神位进阶丹,XianLvXianWei,9,11500,2300,20,86400,"{""item"",20006,115}"
6,30,神位进阶丹,XianLvXianWei,9,8000,2400,20,86400,"{""item"",20006,80}"
6,31,神位9阶经验丹,XianLvXianWei,9,5000,2500,1,86400,"{""item"",20054,1}"
6,32,神位进阶丹,XianLvXianWei,10,16500,3300,20,86400,"{""item"",20006,165}"
6,33,神位进阶丹,XianLvXianWei,10,11500,3450,20,86400,"{""item"",20006,115}"
7,11,通灵进阶丹,PetTongLin,1,7000,1400,5,86400,"{""item"",20007,70}"
7,12,通灵进阶丹,PetTongLin,1,5000,1500,1,86400,"{""item"",20007,50}"
7,13,通灵技能书,PetTongLin,1,2000,800,1,86400,"{""item"",30005,1}"
7,14,通灵进阶丹,PetTongLin,4,2600,520,5,86400,"{""item"",20007,26}"
7,15,通灵进阶丹,PetTongLin,4,9000,2700,5,86400,"{""item"",20007,90}"
7,16,通灵技能书,PetTongLin,4,2000,800,1,86400,"{""item"",30005,1}"
7,17,通灵进阶丹,PetTongLin,5,5400,1080,5,86400,"{""item"",20007,54}"
7,18,通灵进阶丹,PetTongLin,5,3800,1140,5,86400,"{""item"",20007,38}"
7,19,通灵技能书,PetTongLin,5,2000,800,1,86400,"{""item"",30005,1}"
7,20,通灵进阶丹,PetTongLin,6,8000,1600,10,86400,"{""item"",20007,80}"
7,21,通灵进阶丹,PetTongLin,6,6000,1800,10,86400,"{""item"",20007,60}"
7,22,通灵6阶经验丹,PetTongLin,6,5000,2500,1,86400,"{""item"",20056,1}"
7,23,通灵进阶丹,PetTongLin,7,8000,1600,10,86400,"{""item"",20007,80}"
7,24,通灵进阶丹,PetTongLin,7,6000,1800,10,86400,"{""item"",20007,60}"
7,25,通灵7阶经验丹,PetTongLin,7,5000,2500,1,86400,"{""item"",20057,1}"
7,26,通灵进阶丹,PetTongLin,8,8000,1600,10,86400,"{""item"",20007,80}"
7,27,通灵进阶丹,PetTongLin,8,5500,1650,10,86400,"{""item"",20007,55}"
7,28,通灵8阶经验丹,PetTongLin,8,5000,2500,1,86400,"{""item"",20058,1}"
7,29,通灵进阶丹,PetTongLin,9,11500,2300,20,86400,"{""item"",20007,115}"
7,30,通灵进阶丹,PetTongLin,9,8000,2400,20,86400,"{""item"",20007,80}"
7,31,通灵9阶经验丹,PetTongLin,9,5000,2500,1,86400,"{""item"",20059,1}"
7,32,通灵进阶丹,PetTongLin,10,16500,3300,20,86400,"{""item"",20007,165}"
7,33,通灵进阶丹,PetTongLin,10,11500,3450,20,86400,"{""item"",20007,115}"
8,11,元神进阶丹,PetSouHun,1,7000,1400,5,86400,"{""item"",20008,70}"
8,12,元神进阶丹,PetSouHun,1,5000,1500,1,86400,"{""item"",20008,50}"
8,13,元神技能书,PetSouHun,1,2000,800,1,86400,"{""item"",30006,1}"
8,14,元神进阶丹,PetSouHun,4,2600,520,5,86400,"{""item"",20008,26}"
8,15,元神进阶丹,PetSouHun,4,9000,2700,5,86400,"{""item"",20008,90}"
8,16,元神技能书,PetSouHun,4,2000,800,1,86400,"{""item"",30006,1}"
8,17,元神进阶丹,PetSouHun,5,5400,1080,5,86400,"{""item"",20008,54}"
8,18,元神进阶丹,PetSouHun,5,3800,1140,5,86400,"{""item"",20008,38}"
8,19,元神技能书,PetSouHun,5,2000,800,1,86400,"{""item"",30006,1}"
8,20,元神进阶丹,PetSouHun,6,8000,1600,10,86400,"{""item"",20008,80}"
8,21,元神进阶丹,PetSouHun,6,6000,1800,10,86400,"{""item"",20008,60}"
8,22,元神6阶经验丹,PetSouHun,6,5000,2500,1,86400,"{""item"",20061,1}"
8,23,元神进阶丹,PetSouHun,7,8000,1600,10,86400,"{""item"",20008,80}"
8,24,元神进阶丹,PetSouHun,7,6000,1800,10,86400,"{""item"",20008,60}"
8,25,元神7阶经验丹,PetSouHun,7,5000,2500,1,86400,"{""item"",20062,1}"
8,26,元神进阶丹,PetSouHun,8,8000,1600,10,86400,"{""item"",20008,80}"
8,27,元神进阶丹,PetSouHun,8,5500,1650,10,86400,"{""item"",20008,55}"
8,28,元神8阶经验丹,PetSouHun,8,5000,2500,1,86400,"{""item"",20063,1}"
8,29,元神进阶丹,PetSouHun,9,11500,2300,20,86400,"{""item"",20008,115}"
8,30,元神进阶丹,PetSouHun,9,8000,2400,20,86400,"{""item"",20008,80}"
8,31,元神9阶经验丹,PetSouHun,9,5000,2500,1,86400,"{""item"",20064,1}"
8,32,元神进阶丹,PetSouHun,10,16500,3300,20,86400,"{""item"",20008,165}"
8,33,元神进阶丹,PetSouHun,10,11500,3450,20,86400,"{""item"",20008,115}"
