天数,索引,标题,描述,要求,要求,奖励
13,2,神位进阶,神位达到6阶,XianLvXianWei,6,"{""item"",20006,15},{""commonEquip"",10136,1,5,11}"
13,3,神位进阶,神位达到7阶,XianLvXianWei,7,"{""item"",20006,20},{""commonEquip"",10137,1,5,11}"
13,4,神位进阶,神位达到8阶,XianLvXianWei,8,"{""item"",20006,25},{""commonEquip"",10138,1,5,11}"
13,5,神位进阶,神位达到9阶,XianLvXianWei,9,"{""item"",20006,25},{""commonEquip"",10139,1,5,11}"
13,6,神位进阶,神位达到10阶,XianLvXianWei,10,"{""item"",20006,25},{""commonEquip"",10140,1,5,11}"
14,0,法阵进阶,法阵达到4阶,XianLvFaZhen,4,"{""item"",20005,5}"
14,1,法阵进阶,法阵达到5阶,XianLvFaZhen,5,"{""item"",20005,10},{""commonEquip"",10095,1,5,11}"
14,2,法阵进阶,法阵达到6阶,XianLvFaZhen,6,"{""item"",20005,15},{""commonEquip"",10096,1,5,11}"
14,3,法阵进阶,法阵达到7阶,XianLvFaZhen,7,"{""item"",20005,20},{""commonEquip"",10097,1,5,11}"
14,4,法阵进阶,法阵达到8阶,XianLvFaZhen,8,"{""item"",20005,25},{""commonEquip"",10098,1,5,11}"
14,5,法阵进阶,法阵达到9阶,XianLvFaZhen,9,"{""item"",20005,25},{""commonEquip"",10099,1,5,11}"
14,6,法阵进阶,法阵达到10阶,XianLvFaZhen,10,"{""item"",20005,25},{""commonEquip"",10100,1,5,11}"
15,0,通灵进阶,通灵达到4阶,PetTongLin,4,"{""item"",20007,5}"
15,1,通灵进阶,通灵达到5阶,PetTongLin,5,"{""item"",20007,10},{""commonEquip"",10175,1,5,11}"
15,2,通灵进阶,通灵达到6阶,PetTongLin,6,"{""item"",20007,15},{""commonEquip"",10176,1,5,11}"
15,3,通灵进阶,通灵达到7阶,PetTongLin,7,"{""item"",20007,20},{""commonEquip"",10177,1,5,11}"
15,4,通灵进阶,通灵达到8阶,PetTongLin,8,"{""item"",20007,25},{""commonEquip"",10178,1,5,11}"
15,5,通灵进阶,通灵达到9阶,PetTongLin,9,"{""item"",20007,25},{""commonEquip"",10179,1,5,11}"
15,6,通灵进阶,通灵达到10阶,PetTongLin,10,"{""item"",20007,25},{""commonEquip"",10180,1,5,11}"
16,0,元神进阶,元神达到4阶,PetSouHun,4,"{""item"",20008,5}"
16,1,元神进阶,元神达到5阶,PetSouHun,5,"{""item"",20008,10},{""commonEquip"",10215,1,5,11}"
16,2,元神进阶,元神达到6阶,PetSouHun,6,"{""item"",20008,15},{""commonEquip"",10216,1,5,11}"
16,3,元神进阶,元神达到7阶,PetSouHun,7,"{""item"",20008,20},{""commonEquip"",10217,1,5,11}"
16,4,元神进阶,元神达到8阶,PetSouHun,8,"{""item"",20008,25},{""commonEquip"",10218,1,5,11}"
16,5,元神进阶,元神达到9阶,PetSouHun,9,"{""item"",20008,25},{""commonEquip"",10219,1,5,11}"
16,6,元神进阶,元神达到10阶,PetSouHun,10,"{""item"",20008,25},{""commonEquip"",10220,1,5,11}"
17,0,坐骑进阶,坐骑达到4阶,HeroRide,4,"{""item"",20001,5}"
17,1,坐骑进阶,坐骑达到5阶,HeroRide,5,"{""item"",20001,10},{""commonEquip"",10025,1,5,11}"
17,2,坐骑进阶,坐骑达到6阶,HeroRide,6,"{""item"",20001,15},{""commonEquip"",10026,1,5,11}"
17,3,坐骑进阶,坐骑达到7阶,HeroRide,7,"{""item"",20001,20},{""commonEquip"",10027,1,5,11}"
17,4,坐骑进阶,坐骑达到8阶,HeroRide,8,"{""item"",20001,25},{""commonEquip"",10028,1,5,11}"
17,5,坐骑进阶,坐骑达到9阶,HeroRide,9,"{""item"",20001,25},{""commonEquip"",10029,1,5,11}"
17,6,坐骑进阶,坐骑达到10阶,HeroRide,10,"{""item"",20001,25},{""commonEquip"",10030,1,5,11}"
18,0,天仙进阶,天仙达到4阶,TianXian,4,"{""item"",20002,5}"
18,1,天仙进阶,天仙达到5阶,TianXian,5,"{""item"",20002,10},{""commonEquip"",10265,1,5,11}"
18,2,天仙进阶,天仙达到6阶,TianXian,6,"{""item"",20002,15},{""commonEquip"",10266,1,5,11}"
18,3,天仙进阶,天仙达到7阶,TianXian,7,"{""item"",20002,20},{""commonEquip"",10267,1,5,11}"
18,4,天仙进阶,天仙达到8阶,TianXian,8,"{""item"",20002,25},{""commonEquip"",10268,1,5,11}"
18,5,天仙进阶,天仙达到9阶,TianXian,9,"{""item"",20002,25},{""commonEquip"",10269,1,5,11}"
18,6,天仙进阶,天仙达到10阶,TianXian,10,"{""item"",20002,25},{""commonEquip"",10270,1,5,11}"
19,0,神兵进阶,神兵达到4阶,TianXianWeapon,4,"{""item"",20003,5}"
19,1,神兵进阶,神兵达到5阶,TianXianWeapon,5,"{""item"",20003,10},{""commonEquip"",10305,1,5,11}"
19,2,神兵进阶,神兵达到6阶,TianXianWeapon,6,"{""item"",20003,15},{""commonEquip"",10306,1,5,11}"
19,3,神兵进阶,神兵达到7阶,TianXianWeapon,7,"{""item"",20003,20},{""commonEquip"",10307,1,5,11}"
19,4,神兵进阶,神兵达到8阶,TianXianWeapon,8,"{""item"",20003,25},{""commonEquip"",10308,1,5,11}"
19,5,神兵进阶,神兵达到9阶,TianXianWeapon,9,"{""item"",20003,25},{""commonEquip"",10309,1,5,11}"
19,6,神兵进阶,神兵达到10阶,TianXianWeapon,10,"{""item"",20003,25},{""commonEquip"",10310,1,5,11}"
20,0,翅膀进阶,翅膀达到4阶,HeroWing,4,"{""item"",20004,5}"
20,1,翅膀进阶,翅膀达到5阶,HeroWing,5,"{""item"",20004,10},{""commonEquip"",10065,1,5,11}"
20,2,翅膀进阶,翅膀达到6阶,HeroWing,6,"{""item"",20004,15},{""commonEquip"",10066,1,5,11}"
20,3,翅膀进阶,翅膀达到7阶,HeroWing,7,"{""item"",20004,20},{""commonEquip"",10067,1,5,11}"
20,4,翅膀进阶,翅膀达到8阶,HeroWing,8,"{""item"",20004,25},{""commonEquip"",10068,1,5,11}"
20,5,翅膀进阶,翅膀达到9阶,HeroWing,9,"{""item"",20004,25},{""commonEquip"",10069,1,5,11}"
20,6,翅膀进阶,翅膀达到10阶,HeroWing,10,"{""item"",20004,25},{""commonEquip"",10070,1,5,11}"
21,0,元神进阶,元神达到4阶,PetSouHun,4,"{""item"",20008,5}"
21,1,元神进阶,元神达到5阶,PetSouHun,5,"{""item"",20008,10},{""commonEquip"",10225,1,5,11}"
21,2,元神进阶,元神达到6阶,PetSouHun,6,"{""item"",20008,15},{""commonEquip"",10226,1,5,11}"
21,3,元神进阶,元神达到7阶,PetSouHun,7,"{""item"",20008,20},{""commonEquip"",10227,1,5,11}"
21,4,元神进阶,元神达到8阶,PetSouHun,8,"{""item"",20008,25},{""commonEquip"",10228,1,5,11}"
21,5,元神进阶,元神达到9阶,PetSouHun,9,"{""item"",20008,25},{""commonEquip"",10229,1,5,11}"
21,6,元神进阶,元神达到10阶,PetSouHun,10,"{""item"",20008,25},{""commonEquip"",10230,1,5,11}"
22,0,通灵进阶,通灵达到4阶,PetTongLin,4,"{""item"",20007,5}"
22,1,通灵进阶,通灵达到5阶,PetTongLin,5,"{""item"",20007,10},{""commonEquip"",10185,1,5,11}"
22,2,通灵进阶,通灵达到6阶,PetTongLin,6,"{""item"",20007,15},{""commonEquip"",10186,1,5,11}"
22,3,通灵进阶,通灵达到7阶,PetTongLin,7,"{""item"",20007,20},{""commonEquip"",10187,1,5,11}"
22,4,通灵进阶,通灵达到8阶,PetTongLin,8,"{""item"",20007,25},{""commonEquip"",10188,1,5,11}"
22,5,通灵进阶,通灵达到9阶,PetTongLin,9,"{""item"",20007,25},{""commonEquip"",10189,1,5,11}"
22,6,通灵进阶,通灵达到10阶,PetTongLin,10,"{""item"",20007,25},{""commonEquip"",10190,1,5,11}"
23,0,坐骑进阶,坐骑达到4阶,HeroRide,4,"{""item"",20001,5}"
23,1,坐骑进阶,坐骑达到5阶,HeroRide,5,"{""item"",20001,10},{""commonEquip"",10035,1,5,11}"
23,2,坐骑进阶,坐骑达到6阶,HeroRide,6,"{""item"",20001,15},{""commonEquip"",10036,1,5,11}"
23,3,坐骑进阶,坐骑达到7阶,HeroRide,7,"{""item"",20001,20},{""commonEquip"",10037,1,5,11}"
23,4,坐骑进阶,坐骑达到8阶,HeroRide,8,"{""item"",20001,25},{""commonEquip"",10038,1,5,11}"
23,5,坐骑进阶,坐骑达到9阶,HeroRide,9,"{""item"",20001,25},{""commonEquip"",10039,1,5,11}"
23,6,坐骑进阶,坐骑达到10阶,HeroRide,10,"{""item"",20001,25},{""commonEquip"",10040,1,5,11}"
24,0,天仙进阶,天仙达到4阶,TianXian,4,"{""item"",20002,5}"
24,1,天仙进阶,天仙达到5阶,TianXian,5,"{""item"",20002,10},{""commonEquip"",10275,1,5,11}"
24,2,天仙进阶,天仙达到6阶,TianXian,6,"{""item"",20002,15},{""commonEquip"",10276,1,5,11}"
24,3,天仙进阶,天仙达到7阶,TianXian,7,"{""item"",20002,20},{""commonEquip"",10277,1,5,11}"
24,4,天仙进阶,天仙达到8阶,TianXian,8,"{""item"",20002,25},{""commonEquip"",10278,1,5,11}"
24,5,天仙进阶,天仙达到9阶,TianXian,9,"{""item"",20002,25},{""commonEquip"",10279,1,5,11}"
24,6,天仙进阶,天仙达到10阶,TianXian,10,"{""item"",20002,25},{""commonEquip"",10280,1,5,11}"
