Index,省份ID,省份,城ID,城,IP段
83,11,河北,1105,邢台,0
84,11,河北,1106,保定,0
85,11,河北,1107,张家口,0
86,11,河北,1108,承德,0
87,11,河北,1109,沧州,0
88,11,河北,1110,廊坊,0
89,11,河北,1111,衡水,0
90,12,河南,1201,郑州,15
91,12,河南,1202,开封,0
92,12,河南,1203,洛阳,0
93,12,河南,1204,平顶山,0
94,12,河南,1205,安阳,0
95,12,河南,1206,鹤壁,0
96,12,河南,1207,新乡,0
97,12,河南,1208,焦作,0
98,12,河南,1209,济源,0
99,12,河南,1210,濮阳,0
100,12,河南,1211,许昌,0
101,12,河南,1212,漯河,0
102,12,河南,1213,三门峡,0
103,12,河南,1214,南阳,0
104,12,河南,1215,商丘,0
105,12,河南,1216,信阳,0
106,12,河南,1217,周口,0
107,12,河南,1218,驻马店,0
108,13,湖北,1301,武汉,16
109,13,湖北,1302,黄石,0
110,13,湖北,1303,十堰,0
111,13,湖北,1304,宜昌,0
112,13,湖北,1305,襄樊,0
113,13,湖北,1306,鄂州,0
114,13,湖北,1307,荆门,0
115,13,湖北,1308,孝感,0
116,13,湖北,1309,荆州,0
117,13,湖北,1310,黄冈,0
118,13,湖北,1311,咸宁,0
119,13,湖北,1312,随州,0
120,13,湖北,1313,恩施,0
121,13,湖北,1314,仙桃,0
122,13,湖北,1315,潜江,0
123,13,湖北,1316,天门,0
124,13,湖北,1317,神农架,0
125,14,湖南,1401,长沙,17
126,14,湖南,1402,株洲,0
127,14,湖南,1403,湘潭,0
128,14,湖南,1404,衡阳,0
129,14,湖南,1405,邵阳,0
130,14,湖南,1406,岳阳,0
131,14,湖南,1407,常德,0
132,14,湖南,1408,张家界,0
133,14,湖南,1409,益阳,0
134,14,湖南,1410,郴州,0
135,14,湖南,1411,永州,0
136,14,湖南,1412,怀化,0
137,14,湖南,1413,娄底,0
138,14,湖南,1414,湘西,0
139,15,海南,1501,海口,19
140,15,海南,1502,三亚,0
141,15,海南,1503,五指山,0
142,15,海南,1504,琼海,0
143,15,海南,1505,儋州,0
144,15,海南,1506,文昌,0
145,15,海南,1507,万宁,0
146,15,海南,1508,东方,0
147,15,海南,1509,定安,0
148,15,海南,1510,屯昌,0
149,15,海南,1511,澄迈,0
150,15,海南,1512,临高,0
151,15,海南,1513,白沙,0
152,15,海南,1514,昌江,0
153,15,海南,1515,乐东,0
154,15,海南,1516,陵水,0
155,15,海南,1517,保亭,0
156,15,海南,1518,琼中,0
157,16,江苏,1601,南京,9
158,16,江苏,1602,无锡,0
159,16,江苏,1603,徐州,0
160,16,江苏,1604,常州,0
161,16,江苏,1605,苏州,0
162,16,江苏,1606,南通,0
163,16,江苏,1607,连云港,0
164,16,江苏,1608,淮安,0
165,16,江苏,1609,盐城,0
166,16,江苏,1610,扬州,0
167,16,江苏,1611,镇江,0
168,16,江苏,1612,泰州,0
169,16,江苏,1613,宿迁,0
170,17,江西,1701,南昌,13
171,17,江西,1702,景德镇,0
172,17,江西,1703,萍乡,0
173,17,江西,1704,九江,0
174,17,江西,1705,新余,0
175,17,江西,1706,鹰潭,0
176,17,江西,1707,赣州,0
177,17,江西,1708,吉安,0
178,17,江西,1709,宜春,0
179,17,江西,1710,抚州,0
180,17,江西,1711,上饶,0
181,18,广东,1801,广州,18
182,18,广东,1802,韶关,0
183,18,广东,1803,深圳,0
184,18,广东,1804,珠海,0
185,18,广东,1805,汕头,0
186,18,广东,1806,佛山,0
187,18,广东,1807,江门,0
188,18,广东,1808,湛江,0
189,18,广东,1809,茂名,0
190,18,广东,1810,肇庆,0
191,18,广东,1811,惠州,0
192,18,广东,1812,梅州,0
193,18,广东,1813,汕尾,0
194,18,广东,1814,河源,0
195,18,广东,1815,阳江,0
196,18,广东,1816,清远,0
197,18,广东,1817,东莞,0
198,18,广东,1818,中山,0
199,18,广东,1819,潮州,0
200,18,广东,1820,揭阳,0
201,18,广东,1821,云浮,0
202,19,广西,1901,南宁,28
203,19,广西,1902,柳州,0
204,19,广西,1903,桂林,0
205,19,广西,1904,梧州,0
206,19,广西,1905,北海,0
207,19,广西,1906,防城港,0
208,19,广西,1907,钦州,0
209,19,广西,1908,贵港,0
210,19,广西,1909,玉林,0
211,19,广西,1910,百色,0
212,19,广西,1911,贺州,0
213,19,广西,1912,河池,0
214,19,广西,1913,来宾,0
215,19,广西,1914,崇左,0
216,20,云南,2001,昆明,22
217,20,云南,2002,曲靖,0
218,20,云南,2003,玉溪,0
219,20,云南,2004,保山,0
220,20,云南,2005,昭通,0
221,20,云南,2006,丽江,0
222,20,云南,2007,思茅,0
223,20,云南,2008,临沧,0
224,20,云南,2009,楚雄,0
225,20,云南,2010,红河,0
226,20,云南,2011,文山,0
227,20,云南,2012,西双版纳,0
228,20,云南,2013,大理,0
229,20,云南,2014,德宏,0
230,20,云南,2015,怒江,0
231,20,云南,2016,迪庆,0
232,21,贵州,2101,贵阳,21
233,21,贵州,2102,六盘水,0
234,21,贵州,2103,遵义,0
235,21,贵州,2104,安顺,0
236,21,贵州,2105,铜仁,0
237,21,贵州,2106,黔西南,0
238,21,贵州,2107,毕节,0
239,21,贵州,2108,黔东南,0
240,21,贵州,2109,黔南,0
241,22,四川,2201,成都,20
242,22,四川,2202,自贡,0
243,22,四川,2203,攀枝花,0
244,22,四川,2204,泸州,0
245,22,四川,2205,德阳,0
246,22,四川,2206,绵阳,0
247,22,四川,2207,广元,0
248,22,四川,2208,遂宁,0
249,22,四川,2209,内江,0
250,22,四川,2210,乐山,0
251,22,四川,2211,南充,0
252,22,四川,2212,眉山,0
253,22,四川,2213,宜宾,0
254,22,四川,2214,广安,0
255,22,四川,2215,达州,0
256,22,四川,2216,雅安,0
257,22,四川,2217,巴中,0
258,22,四川,2218,资阳,0
259,22,四川,2219,阿坝,0
260,22,四川,2220,甘孜,0
261,22,四川,2221,凉山,0
262,23,安徽,2301,合肥,11
263,23,安徽,2302,芜湖,0
264,23,安徽,2303,蚌埠,0
265,23,安徽,2304,淮南,0
266,23,安徽,2305,马鞍山,0
267,23,安徽,2306,淮北,0
268,23,安徽,2307,铜陵,0
269,23,安徽,2308,安庆,0
270,23,安徽,2309,黄山,0
271,23,安徽,2310,滁州,0
272,23,安徽,2311,阜阳,0
273,23,安徽,2312,宿州,0
274,23,安徽,2313,巢湖,0
275,23,安徽,2314,六安,0
276,23,安徽,2315,亳州,0
277,23,安徽,2316,池州,0
278,23,安徽,2317,宣城,0
279,24,浙江,2401,杭州,10
280,24,浙江,2402,宁波,0
281,24,浙江,2403,温州,0
282,24,浙江,2404,嘉兴,0
283,24,浙江,2405,湖州,0
284,24,浙江,2406,绍兴,0
285,24,浙江,2407,金华,0
286,24,浙江,2408,衢州,0
287,24,浙江,2409,舟山,0
288,24,浙江,2410,台州,0
289,24,浙江,2411,丽水,0
290,25,福建,2501,福州,12
291,25,福建,2502,厦门,0
292,25,福建,2503,莆田,0
293,25,福建,2504,三明,0
294,25,福建,2505,泉州,0
295,25,福建,2506,漳州,0
296,25,福建,2507,南平,0
297,25,福建,2508,龙岩,0
298,25,福建,2509,宁德,0
299,26,内蒙古,2601,呼和浩特,27
300,26,内蒙古,2602,包头,0
301,26,内蒙古,2603,乌海,0
302,26,内蒙古,2604,赤峰,0
303,26,内蒙古,2605,通辽,0
304,26,内蒙古,2606,鄂尔多斯,0
305,26,内蒙古,2607,呼伦贝尔,0
306,26,内蒙古,2608,巴彦淖尔,0
307,26,内蒙古,2609,乌兰察布,0
308,26,内蒙古,2610,兴安,0
309,26,内蒙古,2611,锡林郭勒,0
310,26,内蒙古,2612,阿拉善,0
311,27,宁夏,2701,银川,29
312,27,宁夏,2702,石嘴山,0
313,27,宁夏,2703,吴忠,0
314,27,宁夏,2704,固原,0
315,27,宁夏,2705,中卫,0
316,28,甘肃,2801,兰州,24
317,28,甘肃,2802,嘉峪关,0
318,28,甘肃,2803,金昌,0
319,28,甘肃,2804,白银,0
320,28,甘肃,2805,天水,0
321,28,甘肃,2806,武威,0
322,28,甘肃,2807,张掖,0
323,28,甘肃,2808,平凉,0
324,28,甘肃,2809,酒泉,0
325,28,甘肃,2810,庆阳,0
326,28,甘肃,2811,定西,0
327,28,甘肃,2812,陇南,0
328,28,甘肃,2813,临夏,0
329,28,甘肃,2814,甘南,0
330,29,青海,2901,西宁,25
331,29,青海,2902,海东,0
332,29,青海,2903,海北,0
333,29,青海,2904,黄南,0
334,29,青海,2905,海南,0
335,29,青海,2906,果洛,0
336,29,青海,2907,玉树,0
337,29,青海,2908,海西,0
338,30,西藏,3001,拉萨,31
339,30,西藏,3002,昌都,0
340,30,西藏,3003,山南,0
341,30,西藏,3004,日喀则,0
342,30,西藏,3005,那曲,0
343,30,西藏,3006,阿里,0
344,30,西藏,3007,林芝,0
345,31,新疆,3101,乌鲁木齐,30
346,31,新疆,3102,克拉玛依,0
347,31,新疆,3103,吐鲁番,0
348,31,新疆,3104,哈密,0
349,31,新疆,3105,昌吉,0
350,31,新疆,3106,博尔塔拉,0
351,31,新疆,3107,巴音郭楞,0
352,31,新疆,3108,阿克苏,0
353,31,新疆,3109,克孜勒苏,0
354,31,新疆,3110,喀什,0
355,31,新疆,3111,和田,0
356,31,新疆,3112,伊犁,0
357,31,新疆,3113,塔城,0
358,31,新疆,3114,阿勒泰,0
359,31,新疆,3115,石河子,0
360,31,新疆,3116,阿拉尔,0
361,31,新疆,3117,图木舒克,0
362,31,新疆,3118,五家渠,0
363,32,台湾,32,台湾,26
364,33,香港,33,香港,32
365,34,澳门,34,澳门,33
366,0,其他,0,其他,0
