##关卡ID,名称,boss图,xml提示,索引名称,关卡等级,关卡集合序号,章节名称,章节索引名称,背景地图,地图,X坐标,Y坐标,战斗地图,战斗地图X,战斗地图Y,"引导性检查（{""appointLevel"", 20}/{""equipCheck""}/{""awakeCheck"", 20}）",标题（用于文字简介）,"偏移（{x, y, x1, x2, w}）",品质基数 100白色101蓝色102金色105传奇,"三星奖励（{物品entryId, 数量, 品质}",基础奖励,"可能奖励（1为金钱,2为元宝,3为装备,若为普通物品则直接以字符串格式填写物品的id：""10001""）",关卡礼包npcEntryId,消耗体力,地图名,遇多少次怪,关联任务ID,关联开启功能信息索引,战斗中表演的电影的索引（文件名）,怪物库,敌营战力,下一关卡,战败提示,轨迹点,显示条件
Id_kn,name_s,bossImage_n,namexml_s,indexName_s,camLevel,chapterId_n,chapterName_s,chapterIndexName_s,bgImage_s,mapId_n,x_n,y_n,fightMap_n,fightMapX_n,fightMapY_n,guideCheck_t,title_s,offset_t,base_t,starItem_t,basePrize_t,prize_t,gift_t,consume_n,map_c,autoFightNum_n,taskId_n,funcIndex_s,movieName_s,enemy_t,fighting_n,next_n,lostTips_s,spot_t,open_c
1011,凌霄宝殿1-1,110011,,1-1,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101109,[4]=101109,[9]=101109,[10]=101110,[11]=101109",,12,,,
1012,凌霄宝殿1-2,110012,,1-2,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101209,[4]=101209,[9]=101209,[10]=101210,[11]=101209",,13,,,
1013,凌霄宝殿1-3,100032,,1-3,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101309,[4]=101309,[9]=101309,[10]=101310,[11]=101309",,14,,,
1014,凌霄宝殿1-4,110011,,1-4,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101409,[4]=101409,[9]=101409,[10]=101410,[11]=101409",,15,,,
1015,凌霄宝殿1-5,100034,,1-5,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101509,[4]=101509,[9]=101509,[10]=101510,[11]=101509",,16,,,
1016,凌霄宝殿1-6,100032,,1-6,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101609,[4]=101609,[9]=101609,[10]=101610,[11]=101609",,17,,,
1017,凌霄宝殿1-7,100034,,1-7,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101709,[4]=101709,[9]=101709,[10]=101710,[11]=101709",,18,,,
1018,凌霄宝殿1-8,100030,,1-8,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101809,[4]=101809,[9]=101809,[10]=101810,[11]=101809",,19,,,
1019,凌霄宝殿1-9,20002,,1-9,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=101909,[4]=101909,[9]=101909,[10]=101910,[11]=101909",,20,,,
1020,凌霄宝殿1-10,100030,,1-10,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,凌霄宝殿,2,,,,"[3]=102009,[4]=102009,[9]=102009,[10]=102010,[11]=102009",,21,,,
1021,凌霄宝殿2-1,100032,,2-1,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102109,[4]=102109,[9]=102109,[10]=102110,[11]=102109",,22,,,
1022,凌霄宝殿2-2,20025,,2-2,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102209,[4]=102209,[9]=102209,[10]=102210,[11]=102209",,23,,,
1023,凌霄宝殿2-3,110012,,2-3,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102309,[4]=102309,[9]=102309,[10]=102310,[11]=102309",,24,,,
1024,凌霄宝殿2-4,110011,,2-4,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102409,[4]=102409,[9]=102409,[10]=102410,[11]=102409",,25,,,
1025,凌霄宝殿2-5,100032,,2-5,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102509,[4]=102509,[9]=102509,[10]=102510,[11]=102509",,26,,,
1026,凌霄宝殿2-6,20004,,2-6,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102609,[4]=102609,[9]=102609,[10]=102610,[11]=102609",,27,,,
1027,凌霄宝殿2-7,100032,,2-7,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102709,[4]=102709,[9]=102709,[10]=102710,[11]=102709",,28,,,
1028,凌霄宝殿2-8,20002,,2-8,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102809,[4]=102809,[9]=102809,[10]=102810,[11]=102809",,29,,,
1029,凌霄宝殿2-9,110008,,2-9,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,凌霄宝殿,2,,,,"[3]=102909,[4]=102909,[9]=102909,[10]=102910,[11]=102909",,30,,,
1030,凌霄宝殿2-10,20025,,2-10,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,凌霄宝殿,2,,,,"[3]=103009,[4]=103009,[9]=103009,[10]=103010,[11]=103009",,31,,,
1031,大雁塔1-1,100034,,1-1,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103109,[4]=103109,[5]=103109,[9]=103109,[10]=103110,[11]=103109",,32,,,
1032,大雁塔1-2,100030,,1-2,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103209,[4]=103209,[5]=103209,[9]=103209,[10]=103210,[11]=103209",,33,,,
1033,大雁塔1-3,20026,,1-3,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103309,[4]=103309,[5]=103309,[9]=103309,[10]=103310,[11]=103309",,34,,,
1034,大雁塔1-4,20002,,1-4,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103409,[4]=103409,[5]=103409,[9]=103409,[10]=103410,[11]=103409",,35,,,
1035,大雁塔1-5,20042,,1-5,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103509,[4]=103509,[5]=103509,[9]=103509,[10]=103510,[11]=103509",,36,,,
1036,大雁塔1-6,20017,,1-6,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103609,[4]=103609,[5]=103609,[9]=103609,[10]=103610,[11]=103609",,37,,,
1037,大雁塔1-7,20011,,1-7,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103709,[4]=103709,[5]=103709,[9]=103709,[10]=103710,[11]=103709",,38,,,
1038,大雁塔1-8,20011,,1-8,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103809,[4]=103809,[5]=103809,[9]=103809,[10]=103810,[11]=103809",,39,,,
1039,大雁塔1-9,17002,,1-9,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[3]=103909,[4]=103909,[5]=103909,[9]=103909,[10]=103910,[11]=103909",,40,,,
1040,大雁塔1-10,17006,,1-10,0,1004,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,大雁塔,3,,,,"[3]=104009,[4]=104009,[5]=104009,[9]=104009,[10]=104010,[11]=104009",,41,,,
1041,大雁塔2-1,20026,,2-1,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104109,[3]=104109,[4]=104109,[5]=104109,[6]=104109,[9]=104109,[10]=104110,[11]=104109",,42,,,
1042,大雁塔2-2,20012,,2-2,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104209,[3]=104209,[4]=104209,[5]=104209,[6]=104209,[9]=104209,[10]=104210,[11]=104209",,43,,,
1043,大雁塔2-3,20005,,2-3,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104309,[3]=104309,[4]=104309,[5]=104309,[6]=104309,[9]=104309,[10]=104310,[11]=104309",,44,,,
1044,大雁塔2-4,20015,,2-4,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104409,[3]=104409,[4]=104409,[5]=104409,[6]=104409,[9]=104409,[10]=104410,[11]=104409",,45,,,
1045,大雁塔2-5,100030,,2-5,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104509,[3]=104509,[4]=104509,[5]=104509,[6]=104509,[9]=104509,[10]=104510,[11]=104509",,46,,,
1046,大雁塔2-6,20031,,2-6,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104609,[3]=104609,[4]=104609,[5]=104609,[6]=104609,[9]=104609,[10]=104610,[11]=104609",,47,,,
1047,大雁塔2-7,20012,,2-7,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104709,[3]=104709,[4]=104709,[5]=104709,[6]=104709,[9]=104709,[10]=104710,[11]=104709",,48,,,
1048,大雁塔2-8,20010,,2-8,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104809,[3]=104809,[4]=104809,[5]=104809,[6]=104809,[9]=104809,[10]=104810,[11]=104809",,49,,,
1049,大雁塔2-9,20021,,2-9,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=104909,[3]=104909,[4]=104909,[5]=104909,[6]=104909,[9]=104909,[10]=104910,[11]=104909",,50,,,
1050,大雁塔2-10,20037,,2-10,0,1005,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,大雁塔,3,,,,"[2]=105009,[3]=105009,[4]=105009,[5]=105009,[6]=105009,[9]=105009,[10]=105010,[11]=105009",,51,,,
1051,大雁塔3-1,17005,,3-1,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105109,[3]=105109,[4]=105109,[5]=105109,[6]=105109,[9]=105109,[10]=105110,[11]=105109",,52,,,
1052,大雁塔3-2,20034,,3-2,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105209,[3]=105209,[4]=105209,[5]=105209,[6]=105209,[9]=105209,[10]=105210,[11]=105209",,53,,,
1053,大雁塔3-3,110009,,3-3,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105309,[3]=105309,[4]=105309,[5]=105309,[6]=105309,[9]=105309,[10]=105310,[11]=105309",,54,,,
1054,大雁塔3-4,20024,,3-4,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105409,[3]=105409,[4]=105409,[5]=105409,[6]=105409,[9]=105409,[10]=105410,[11]=105409",,55,,,
1055,大雁塔3-5,20017,,3-5,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105509,[3]=105509,[4]=105509,[5]=105509,[6]=105509,[9]=105509,[10]=105510,[11]=105509",,56,,,
1056,大雁塔3-6,17010,,3-6,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105609,[3]=105609,[4]=105609,[5]=105609,[6]=105609,[9]=105609,[10]=105610,[11]=105609",,57,,,
1057,大雁塔3-7,20017,,3-7,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105709,[3]=105709,[4]=105709,[5]=105709,[6]=105709,[9]=105709,[10]=105710,[11]=105709",,58,,,
1058,大雁塔3-8,20002,,3-8,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105809,[3]=105809,[4]=105809,[5]=105809,[6]=105809,[9]=105809,[10]=105810,[11]=105809",,59,,,
1059,大雁塔3-9,100033,,3-9,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,大雁塔,3,,,,"[2]=105909,[3]=105909,[4]=105909,[5]=105909,[6]=105909,[9]=105909,[10]=105910,[11]=105909",,60,,,
1060,大雁塔3-10,20011,,3-10,0,1006,大雁塔,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,大雁塔,3,,,,"[2]=106009,[3]=106009,[4]=106009,[5]=106009,[6]=106009,[9]=106009,[10]=106010,[11]=106009",,61,,,
1061,长安城1-1,20002,,1-1,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106109,[3]=106109,[4]=106109,[5]=106109,[6]=106109,[8]=106109,[9]=106109,[10]=106110,[11]=106109,[12]=106109",,62,,,
1062,长安城1-2,20019,,1-2,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106209,[3]=106209,[4]=106209,[5]=106209,[6]=106209,[8]=106209,[9]=106209,[10]=106210,[11]=106209,[12]=106209",,63,,,
1063,长安城1-3,20035,,1-3,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106309,[3]=106309,[4]=106309,[5]=106309,[6]=106309,[8]=106309,[9]=106309,[10]=106310,[11]=106309,[12]=106309",,64,,,
1064,长安城1-4,20026,,1-4,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106409,[3]=106409,[4]=106409,[5]=106409,[6]=106409,[8]=106409,[9]=106409,[10]=106410,[11]=106409,[12]=106409",,65,,,
1065,长安城1-5,20028,,1-5,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106509,[3]=106509,[4]=106509,[5]=106509,[6]=106509,[8]=106509,[9]=106509,[10]=106510,[11]=106509,[12]=106509",,66,,,
1066,长安城1-6,20036,,1-6,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106609,[3]=106609,[4]=106609,[5]=106609,[6]=106609,[8]=106609,[9]=106609,[10]=106610,[11]=106609,[12]=106609",,67,,,
1067,长安城1-7,20007,,1-7,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106709,[3]=106709,[4]=106709,[5]=106709,[6]=106709,[8]=106709,[9]=106709,[10]=106710,[11]=106709,[12]=106709",,68,,,
1068,长安城1-8,20028,,1-8,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106809,[3]=106809,[4]=106809,[5]=106809,[6]=106809,[8]=106809,[9]=106809,[10]=106810,[11]=106809,[12]=106809",,69,,,
1069,长安城1-9,20017,,1-9,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=106909,[3]=106909,[4]=106909,[5]=106909,[6]=106909,[8]=106909,[9]=106909,[10]=106910,[11]=106909,[12]=106909",,70,,,
1070,长安城1-10,20028,,1-10,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,","{""item"",50002,5}",0,长安城,3,,,,"[2]=107009,[3]=107009,[4]=107009,[5]=107009,[6]=107009,[8]=107009,[9]=107009,[10]=107010,[11]=107009,[12]=107009",,71,,,
1071,长安城2-1,110009,,2-1,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=107109,[3]=107109,[4]=107109,[5]=107109,[6]=107109,[8]=107109,[9]=107109,[10]=107110,[11]=107109,[12]=107109",,72,,,
1072,长安城2-2,110008,,2-2,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=107209,[3]=107209,[4]=107209,[5]=107209,[6]=107209,[8]=107209,[9]=107209,[10]=107210,[11]=107209,[12]=107209",,73,,,
1073,长安城2-3,20031,,2-3,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=107309,[3]=107309,[4]=107309,[5]=107309,[6]=107309,[8]=107309,[9]=107309,[10]=107310,[11]=107309,[12]=107309",,74,,,
1074,长安城2-4,20031,,2-4,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=107409,[3]=107409,[4]=107409,[5]=107409,[6]=107409,[8]=107409,[9]=107409,[10]=107410,[11]=107409,[12]=107409",,75,,,
1075,长安城2-5,20015,,2-5,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",,0,长安城,3,,,,"[2]=107509,[3]=107509,[4]=107509,[5]=107509,[6]=107509,[8]=107509,[9]=107509,[10]=107510,[11]=107509,[12]=107509",,76,,,
